PC1,PC2,spectral_cluster,dbscan_cluster
-0.2096968741978862,0.6283526005006915,2,0
-0.9897752320743118,0.6308782258963582,2,0
-0.9991198733059125,0.6293578565074063,2,0
1.6204662719317946,-0.2768666228470442,2,3
-0.1095456343983903,-0.4324222257450273,1,3
0.0685970553012744,-0.3941003688696323,1,3
-0.6523642926947137,-0.4492069554116226,1,3
0.5950322328614114,-0.4009806549720835,2,3
-1.1739709980041793,0.6009096484888811,2,0
1.0037278359247652,-0.3405493844435182,2,3
-1.970576417300128,1.0314169982299557,0,1
0.4623545653886927,-0.4233254616322792,2,3
-0.2578813752929715,-0.4509489665699317,1,3
1.2724826610707625,-0.3149183497595236,2,3
-1.275625897249881,-0.5825412827269011,1,3
-0.2745082902443427,-0.3007518826872342,1,3
-0.3776334527986357,-0.3380057141535501,1,3
-1.6624443134072575,1.0340075413137353,0,1
-0.7344275577007728,-0.4330623030942279,1,3
0.0286754523508665,-0.3163295193175152,1,3
-1.8661702988149755,-0.6171963941859048,1,3
1.2557506010861357,-0.3573377519415218,2,3
-0.1917181976245746,-0.412356503080739,1,3
-0.646220488168252,-0.4836165584049517,1,3
0.565251298292775,-0.3988018106547537,2,3
-1.0956386645783238,-0.4343494660010015,1,3
-1.2932462968785925,0.5815036050922112,2,0
-0.6839514159062272,0.5867566569344352,2,0
0.0729444341892495,-0.5256762151921538,1,3
-0.6427229234490154,-0.3606602561617993,1,3
0.8276718022964916,-0.2870217304058603,2,3
-1.164722968885245,0.5266462832082944,2,0
0.0948460599926818,-0.2611334864937407,1,3
0.3086430905070909,-0.3916701422309608,2,3
0.583556004858999,-0.44138633920478,2,3
1.0705156178985895,-0.3473450246455644,2,3
0.5044612375630931,-0.3709166209203161,2,3
0.3525917548575066,-0.3946307681868634,2,3
0.4662882231704268,-0.3501542631757833,2,3
-1.22729457794952,-0.4557698304219681,1,3
-1.1091960664410867,-0.4365552498588302,1,3
-0.8903450334880911,-0.4009482743746304,1,3
-0.0820485636969291,-0.2694387621942576,1,3
1.1957294299825345,-0.325439289658634,2,3
-0.44839439743247,-0.4776410655418441,1,3
-0.1515379895392111,0.5959552224474354,2,0
-0.8888981359983024,1.0999521606264946,0,1
-0.2723587317143563,-0.3004021503745906,1,3
0.9803514608750772,-0.3965924880741999,2,3
0.1064717050990879,-0.4054272311772656,1,3
0.4592948139431327,-0.3129428091012909,2,3
1.8267502772879805,-0.2449638896048831,2,3
0.6646348383848392,-0.3669071882788368,2,3
0.8696060929702113,-0.3696801482620803,2,3
1.128297848304182,-0.3400011407378558,2,3
0.2838375123496734,-0.2968872963692146,2,3
1.0374195684930283,-0.3419271771851714,2,3
0.0014257810397041,-0.4449686858432941,1,3
0.8499321479041697,-0.3040917994141088,2,3
-1.3458088807266753,0.4280510014801452,2,0
-0.3130217392123612,-0.4876800565327967,1,3
-0.5525263620714733,0.4872345169780443,2,0
0.1040564099252015,-0.4229730336806706,1,3
-0.3191285817578122,-0.4678703698285889,1,3
-0.0387036144166689,-0.4571435801503317,1,3
0.7999905416455734,-0.3523343949190005,2,3
1.5388390706128945,-0.2885206992181228,2,3
-3.054712682367115,1.5829410694025696,0,1
0.5732526189132279,-0.3731100171784337,2,3
1.0458743053948698,-0.3450120934407196,2,3
1.4384824454121743,-0.3186689845863543,2,3
-1.5702464583364022,0.4022279035064338,2,0
1.0091701766210637,-0.2567218495323518,2,3
-0.5281264032550996,-0.3420154481841474,1,3
-1.0600890845842117,-0.4285655635617756,1,3
-1.4064192708056964,0.5101622436233604,2,0
0.6884961764625872,-0.354359936481975,2,3
-0.3638690205327552,-0.4779170690326235,1,3
-0.876234571805572,-0.4856305602371634,1,3
1.051609050008064,-0.3165476323114954,2,3
0.5040209029793103,-0.3932876939380157,2,3
-0.8727199691698835,-0.4185560922492071,1,3
-0.6369016243155721,-0.4769946459240567,1,3
-0.3387287953534581,-0.311200533169475,2,3
-0.2976114545801225,-0.5070801513685892,1,3
-1.553926139719071,0.3903006739954145,2,0
0.5343155659456355,-0.3966749611863439,2,3
0.2217392916250999,0.5454763197083611,2,0
0.4974236211987168,-0.3877030532946318,2,3
-3.04189757699585,0.2969987415719976,2,0
0.736174229249773,-0.3044061547808199,2,3
0.1055733141449789,-0.3970054199169541,1,3
-0.0087661801787742,-0.339417382865769,1,3
0.1091405722121405,-0.3903881728964414,1,3
-1.4936143807769946,-0.5195753645554037,1,3
0.2788621991058426,-0.4501922125382863,2,3
0.1623586219766521,-0.33469797744102,1,3
1.3582029917662866,-0.2715081611272915,2,3
-0.3639755979179073,-0.31530817784374,1,3
1.5880677086511374,-0.2933383741652773,2,3
-0.3965788308823786,-0.415697564630039,1,3
-2.6003631687549227,1.8941440766949311,0,1
-0.1791634517537355,-0.2852393156187973,1,3
